	Tweets	Date	Source	Likes	RTs
111	From ScienceFiction: The world was dealt a devastating blow two weeks ago when comics legend Stan Lee passed away a… https://t.co/S7dFDd3s3n	2018-11-28 16:07:32	IFTTT	0	0
112	is it really necessary to reveal a cause of death for stan lee? the man was 95 this shouldn’t have been a shock	2018-11-28 16:07:28	Twitter for iPhone	0	0
113	2018s been a hell of a year of losing unexpected people. X, Mac, Stan Lee, Freaking Stephen hillenburg. no more plz 😪	2018-11-28 16:07:25	Twitter for iPhone	0	0
114	EXCLUSIVE: With tix now on sale for #IntoTheSpiderVerse at @Fandango, I chat with producers Phil Lord and Chris Mil… https://t.co/QxXWUVKDGG	2018-11-28 16:07:13	Twitter Web Client	12	2
115	A great tribute to Stan Lee in the new Empire and an insightful feature on his life - congrats to @Terri_White and… https://t.co/04YZFISVzK	2018-11-28 16:06:54	Twitter Web Client	4	0
116	now that some time has passed can we talk about how annoying Stan Lee probably was during World War II? Telling his… https://t.co/Z2CpF66Gax	2018-11-28 16:06:49	Twitter for iPhone	0	0
117	I liked a @YouTube video https://t.co/9qu8BB8eAW Bill Maher doubles down on Stan Lee comments	2018-11-28 16:06:41	Google	0	0
118	I hope before they make a Stan Lee movie, they make a Max and William Gaines movie. Max Gaines, a pioneering figure… https://t.co/Uor2hUVroh	2018-11-28 16:06:20	Twitter Web Client	0	0
119	Stan Lee and Ocean's 8 Episode 215 https://t.co/VHnmcRySG4… #StanLee #Oceans8  #StarWars #JamesBond #DoctorWho⁠ ⁠… https://t.co/hPQgu5YUih	2018-11-28 16:05:11	Crowdfire - Go Big	0	0
120	Marvel Amazing Fantasy #15 Spider-man Comic Spiderman by Stan Lee 1962 [PDF] https://t.co/FCt8I1NxhM	2018-11-28 16:05:04	Buffer	0	0
121	The world was dealt a devastating blow two weeks ago when comics legend Stan Lee passed away at the age of 95.  Now… https://t.co/H9MqQtUiV2	2018-11-28 16:05:00	TweetDeck	0	2
122	Generations React To Stan Lee (Marvel) https://t.co/eALXqF4v4Q	2018-11-28 16:04:14	IFTTT	0	0
123	"Stan Lee's cause of death revealed:

He was 95."	2018-11-28 16:04:11	Twitter Lite	21	3
124	In #StanLee's New York, Neighborhoods Needed Their Own Heroes https://t.co/pGM6h3wSCe @kristoncapps @CityLab #nyc… https://t.co/Mlul3rKjoY	2018-11-28 16:04:02	Buffer	0	0
125	"“Best animated movie of the year”
“Best Spider-Man movie ever”
“Best Stan lee cameo”
As if I didn’t have enough exc… https://t.co/wIUPqj4zkD"	2018-11-28 16:03:05	Twitter for iPhone	0	0
126	Darn... Stephen Hillenburg died very close to SpongeBob's 20th anniversary and within the same month as Stan Lee dy… https://t.co/MvXuyOxvdm	2018-11-28 16:02:54	Twitter Web Client	0	1
127	@Henrirejaune Rip le createur de bob E fuck stan lee	2018-11-28 16:02:47	Twitter for Android	0	0
128	Fredo Santana, Mac Miller, Stan Lee, and now this.  2018 YOURE THE WORST.	2018-11-28 16:02:16	Twitter for iPhone	0	0
129	I can't believe na wala na si Stan Lee ng Marvel, and now Stephen Hillenburg ng Spongebob Squarepants.😢😟	2018-11-28 16:02:08	Twitter for Android	0	0
130	@OrangeCat67193 Man, we lost so many great people for this year, first is Stephen Hawking, then Stan Lee and now St… https://t.co/7fCU9HURPW	2018-11-28 16:02:00	Twitter for Android	0	0
131	The world really lost Stan Lee and Stephen Hillenburg in the same month wow	2018-11-28 16:01:40	Twitter for iPhone	0	0
132	@Nickelodeon first Stan Lee now Stephen Hillenburg what is happening	2018-11-28 16:01:28	Twitter Web Client	0	0
133	"""Ad"" Stan Lee Autographed Framed 16x20 Poster https://t.co/ZYG5cBWmou #StanLee https://t.co/Jzc3PNkYU1"	2018-11-28 16:01:15	dlvr.it	0	0
134	"""Ad"" Stan Lee Signed 12-Inch Incredible Hulk Action Figure COA https://t.co/Fp4brstIeU #StanLee https://t.co/eL8e6peGti"	2018-11-28 16:01:14	dlvr.it	0	0
135	@davidhogg111 Stan Lee.	2018-11-28 16:01:12	Twitter for Android	0	0
136	@KanyePodcast @ScooptyWhooop He's not clueless. If you read the original comics and listened to Stan Lee talk about… https://t.co/GdEsNubaSR	2018-11-28 16:01:07	Twitter for Android	0	0
137	"Sometimes Bill Maher says stupid shit.
Stan Lee will be remembered forever.
Will Bill? Nope."	2018-11-28 16:00:59	Twitter for Android	2	0
138	I just thought of something. The favorite system is flawed on here. When people tweet stuff thats sad or about some… https://t.co/3N3pZ34yzN	2018-11-28 16:00:27	Twitter for iPhone	0	0
139	Listen to Slay Jay and I discuss Daredevil Season 3, The Dallas Cowboys, Music such as Hawthorne Heights, Silverste… https://t.co/14VclElDII	2018-11-28 16:00:17	Facebook	0	0
140	"@OneyNG Some people are tone dead

I figure it's the same sort of people who make unfunny memes when celebrities pa… https://t.co/2ZOfHDX5At"	2018-11-28 16:00:16	Twitter for Android	0	0
141	"Want to become a ""superboss""?  Superbosses identify, train, and build a new pipeline of talent. Superbosses — like… https://t.co/s52cD5AoQs"	2018-11-28 16:00:01	LinkedIn	1	0
142	Awesome Stan Lee Cosplay https://t.co/DkdE8ZtqkZ	2018-11-28 15:59:15	Twitter for iPad	30	1
143	I liked a @YouTube video https://t.co/SomvwNy5qI Spider-Man Homecoming &amp; Goodbye, Stan Lee | Stuff You Like 177	2018-11-28 15:58:37	Google	0	0
144	I liked a @YouTube video https://t.co/Lk0srWV6OH Generations React To Stan Lee (Marvel)	2018-11-28 15:58:29	Google	0	0
145	STAN SF9 https://t.co/TV0iWgG2nC	2018-11-28 15:57:12	Twitter for Android	1	0
146	This ain't a fan account but, stan Lee Daehwi.	2018-11-28 15:56:26	Twitter for Android	0	0
147	Digging through some papers and found this.  My special #StanLee memory from 2017.  My wife and kids surprised me w… https://t.co/o3JMf1vb9V	2018-11-28 15:55:01	Twitter for iPhone	4	0
148	"@GraceRandolph  early review of the into the spider verse movie.
 Best spiderman movie ever! , best Stan Lee cameo!… https://t.co/tLsq0ag025"	2018-11-28 15:53:28	Twitter for Android	1	0
149	@daporcrap started the Stan Lee podcast and had to double check that it wasn’t on half speed when Troy talks. Nope… https://t.co/tnwRhvMHkh	2018-11-28 15:53:20	Twitter for iPhone	1	0
150	Stan Lee didn’t create Marvel .. https://t.co/DZXe36EUY5	2018-11-28 15:52:07	Twitter for iPhone	1	0
151	Paying respects to Stephen Hillenburg and Stan lee. I remember watching the premier of the first episode of the Nic… https://t.co/ufOznHJzMX	2018-11-28 15:52:00	Twitter for iPhone	0	0
152	Stan Lee gave us Marvel, and Stephen Hillenburg gave us Spongebob. RIP to two legends	2018-11-28 15:51:38	Twitter for iPhone	0	0
153	first stan lee , now the spongebob director .. my childhood 💔	2018-11-28 15:51:15	Twitter for iPhone	0	0
154	im waking to school and realized i was going the absolute wrong way yall were right when you said i have -15 brainc… https://t.co/Oawcyceq1A	2018-11-28 15:50:47	Twitter for iPhone	1	0
155	Comic-Book Icon Stan Lee Died Of Respiratory, Heart Failure: Report https://t.co/lf7CAdvrOh	2018-11-28 15:50:06	IFTTT	0	0
156	how the fuck did we lose stan lee and stephen hillenburg in the same month god damn 2018 is depressing as hell	2018-11-28 15:49:43	Twitter for iPhone	0	0
157	"Friend: What are you thinking about?

Me: Nothing.

Friend: Honestly, I want to help.

Me: In The Princess Diaries… https://t.co/2dr3RqynTx"	2018-11-28 15:46:54	Twitter for Android	4	0
158	Marvel Creator Stan Lee’s Cause Of Death Revealed https://t.co/B00UuBynX8	2018-11-28 15:45:49	Facebook	0	0
159	@HistoryFish R.I.P Stan Lee May he live for ever in our hearts #Excelsior	2018-11-28 15:44:34	Twitter for iPhone	0	0
160	Stan Lee and then Stephen. 😢 https://t.co/5q513xmHYv	2018-11-28 15:43:05	Twitter for Android	0	0
161	....... and Stan Lee. Like how do you forget a hero like him? 😭 https://t.co/su5OQAt1np	2018-11-28 15:43:00	Twitter for iPhone	1	0
162	FUCK 2018. STAN LEE AND HILLENBURG?? YOU GOT ME FUCKED UP	2018-11-28 15:42:56	Twitter for iPhone	1	0
163	@brian2596 My child hood is completely ruined. First Stan Lee and now Stephen Hillenburg. #Legends😭😭😭 R.I.P.	2018-11-28 15:42:30	Twitter for iPhone	0	0
